task,reference,mask,n,count
hate,original,0000,32,3
hate,original,0001,32,5
hate,original,0010,32,5
hate,original,0011,32,4
hate,original,0100,32,0
hate,original,0101,32,0
hate,original,0110,32,1
hate,original,0111,32,1
hate,original,1000,32,0
hate,original,1001,32,0
hate,original,1010,32,2
hate,original,1011,32,0
hate,original,1100,32,3
hate,original,1101,32,1
hate,original,1110,32,1
hate,original,1111,32,6
hate,reviewed,0000,32,2
hate,reviewed,0001,32,3
hate,reviewed,0010,32,5
hate,reviewed,0011,32,3
hate,reviewed,0100,32,0
hate,reviewed,0101,32,0
hate,reviewed,0110,32,1
hate,reviewed,0111,32,0
hate,reviewed,1000,32,1
hate,reviewed,1001,32,0
hate,reviewed,1010,32,2
hate,reviewed,1011,32,0
hate,reviewed,1100,32,4
hate,reviewed,1101,32,1
hate,reviewed,1110,32,3
hate,reviewed,1111,32,7
group,original,0000,32,8
group,original,0001,32,5
group,original,0010,32,1
group,original,0011,32,1
group,original,0100,32,0
group,original,0101,32,0
group,original,0110,32,0
group,original,0111,32,1
group,original,1000,32,1
group,original,1001,32,1
group,original,1010,32,2
group,original,1011,32,0
group,original,1100,32,1
group,original,1101,32,0
group,original,1110,32,0
group,original,1111,32,11
group,reviewed,0000,32,12
group,reviewed,0001,32,2
group,reviewed,0010,32,1
group,reviewed,0011,32,1
group,reviewed,0100,32,0
group,reviewed,0101,32,0
group,reviewed,0110,32,0
group,reviewed,0111,32,0
group,reviewed,1000,32,0
group,reviewed,1001,32,1
group,reviewed,1010,32,2
group,reviewed,1011,32,1
group,reviewed,1100,32,3
group,reviewed,1101,32,0
group,reviewed,1110,32,0
group,reviewed,1111,32,9
