task,original_mask,reviewed_mask,count
hate,0000,0000,2
hate,0000,0001,0
hate,0000,0010,0
hate,0000,0011,0
hate,0000,0100,0
hate,0000,0101,0
hate,0000,0110,0
hate,0000,0111,0
hate,0000,1000,0
hate,0000,1001,0
hate,0000,1010,0
hate,0000,1011,0
hate,0000,1100,0
hate,0000,1101,0
hate,0000,1110,0
hate,0000,1111,1
hate,0001,0000,0
hate,0001,0001,3
hate,0001,0010,0
hate,0001,0011,0
hate,0001,0100,0
hate,0001,0101,0
hate,0001,0110,0
hate,0001,0111,0
hate,0001,1000,0
hate,0001,1001,0
hate,0001,1010,0
hate,0001,1011,0
hate,0001,1100,0
hate,0001,1101,0
hate,0001,1110,2
hate,0001,1111,0
hate,0010,0000,0
hate,0010,0001,0
hate,0010,0010,4
hate,0010,0011,0
hate,0010,0100,0
hate,0010,0101,0
hate,0010,0110,0
hate,0010,0111,0
hate,0010,1000,0
hate,0010,1001,0
hate,0010,1010,0
hate,0010,1011,0
hate,0010,1100,0
hate,0010,1101,1
hate,0010,1110,0
hate,0010,1111,0
hate,0011,0000,0
hate,0011,0001,0
hate,0011,0010,0
hate,0011,0011,2
hate,0011,0100,0
hate,0011,0101,0
hate,0011,0110,0
hate,0011,0111,0
hate,0011,1000,0
hate,0011,1001,0
hate,0011,1010,0
hate,0011,1011,0
hate,0011,1100,2
hate,0011,1101,0
hate,0011,1110,0
hate,0011,1111,0
hate,0100,0000,0
hate,0100,0001,0
hate,0100,0010,0
hate,0100,0011,0
hate,0100,0100,0
hate,0100,0101,0
hate,0100,0110,0
hate,0100,0111,0
hate,0100,1000,0
hate,0100,1001,0
hate,0100,1010,0
hate,0100,1011,0
hate,0100,1100,0
hate,0100,1101,0
hate,0100,1110,0
hate,0100,1111,0
hate,0101,0000,0
hate,0101,0001,0
hate,0101,0010,0
hate,0101,0011,0
hate,0101,0100,0
hate,0101,0101,0
hate,0101,0110,0
hate,0101,0111,0
hate,0101,1000,0
hate,0101,1001,0
hate,0101,1010,0
hate,0101,1011,0
hate,0101,1100,0
hate,0101,1101,0
hate,0101,1110,0
hate,0101,1111,0
hate,0110,0000,0
hate,0110,0001,0
hate,0110,0010,0
