reference,task,condition,n,exact_accuracy,macro_f1,micro_f1
original,hate,C0,32,0.40625,0.3764102564102564,0.40625
original,hate,CLnew,32,0.34375,0.2873806998939554,0.34375
original,hate,CD,32,0.625,0.6,0.625
original,hate,CLDnew,32,0.375,0.375,0.375
original,hate,CLnewNoCat,32,0.40625,0.3764102564102564,0.40625
original,hate,CLDnewNoCat,32,0.53125,0.5195195195195195,0.53125
reviewed,hate,C0,32,0.5625,0.49090909090909085,0.5625
reviewed,hate,CLnew,32,0.5,0.3816425120772947,0.5
reviewed,hate,CD,32,0.65625,0.6532019704433498,0.65625
reviewed,hate,CLDnew,32,0.34375,0.32732732732732733,0.34375
reviewed,hate,CLnewNoCat,32,0.5,0.4181818181818182,0.5
reviewed,hate,CLDnewNoCat,32,0.4375,0.4375,0.4375
original,group,C0,32,0.5,0.5018315018315018,0.6
original,group,CLnew,32,0.5625,0.5786774628879892,0.7169811320754716
original,group,CD,32,0.5,0.5658823529411765,0.6129032258064516
original,group,CLDnew,32,0.59375,0.7231746031746031,0.7575757575757576
original,group,CLnewNoCat,32,0.40625,0.4841269841269841,0.6037735849056604
original,group,CLDnewNoCat,32,0.59375,0.7634085213032581,0.7419354838709677
reviewed,group,C0,32,0.5,0.5214349376114082,0.5964912280701754
reviewed,group,CLnew,32,0.5,0.6154248366013072,0.7
reviewed,group,CD,32,0.4375,0.5269081795397585,0.5797101449275363
reviewed,group,CLDnew,32,0.53125,0.7208020050125313,0.7397260273972602
reviewed,group,CLnewNoCat,32,0.375,0.49145933014354065,0.5666666666666667
reviewed,group,CLDnewNoCat,32,0.4375,0.5961111111111111,0.6666666666666666
