task,contrast,reference,n,wrong_to_wrong,wrong_to_right,right_to_wrong,right_to_right
hate,remove_with_D,original,32,11,9,4,8
hate,remove_with_D,reviewed,32,13,8,5,6
hate,remove_without_D,original,32,19,2,0,11
hate,remove_without_D,reviewed,32,15,1,1,15
hate,S_given_D,original,32,6,6,9,11
hate,S_given_D,reviewed,32,7,4,11,10
hate,S_vs_0,original,32,17,2,2,11
hate,S_vs_0,reviewed,32,13,1,3,15
hate,D_vs_0,original,32,8,11,4,9
hate,D_vs_0,reviewed,32,5,9,6,12
hate,D_given_S,original,32,10,9,5,8
hate,D_given_S,reviewed,32,10,6,8,8
group,remove_with_D,original,32,11,2,2,17
group,remove_with_D,reviewed,32,15,0,3,14
group,remove_without_D,original,32,13,1,6,12
group,remove_without_D,reviewed,32,16,0,4,12
group,S_given_D,original,32,10,6,3,13
group,S_given_D,reviewed,32,15,3,3,11
group,S_vs_0,original,32,15,1,4,12
group,S_vs_0,reviewed,32,16,0,4,12
group,D_vs_0,original,32,13,3,3,13
group,D_vs_0,reviewed,32,14,2,4,12
group,D_given_S,original,32,12,7,1,12
group,D_given_S,reviewed,32,15,5,3,9
