family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,all,643,0.119509494662413,0.019608724255317338,1.2633262094075807e-05,0.6129662200613367,0.0007366360667404558,0.14883132888184963,0.14809469281510917,3.019330685841879e-07,0.6931334646293738,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,Lq_hit,223,0.18448988042806377,0.09479289936824623,7.219924495191101e-05,0.6469188352838792,0.010883912957546656,0.2961105188640521,0.28522660590650545,3.0039378156526743e-06,0.6931334646293738,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,Lq_no_hit,420,0.08500800412493655,0.007465158576084937,7.296716998819151e-06,0.5243219054375448,0.00022924900661567025,0.07813954460726118,0.07791029560064551,3.019330685841879e-07,0.6924071240954297,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,gold_size_0,252,0.020679343267621015,0.0010093015168352916,3.0204801169969336e-06,0.1285874321174198,6.35072328135598e-05,0.009836297975015375,0.009772790742201816,3.019330685841879e-07,0.49130534649521873,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,gold_size_1,328,0.1687460254730193,0.06344296771466079,6.204480901546247e-05,0.6394242229176921,0.008675994641393982,0.27722502993004683,0.26854903528865287,2.9766637534078243e-06,0.6931310653879859,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,gold_size_2plus,63,0.2584875271323925,0.17084161332233982,0.013530054586929772,0.6870105616549407,0.04836881321866388,0.3814097349143116,0.33304092169564775,0.00023078062196823466,0.6931334646293738,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,gold_size_2_appendix,56,0.26043392782304586,0.1571156213483858,0.012828612347708558,0.6884143774318733,0.043427106058441814,0.41760651962224477,0.37417941356380297,0.00023078062196823466,0.6931334646293738,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,C0,C0,gold_size_3_appendix,7,0.24291632160716586,0.2395885714729752,0.08829056639747523,0.4646395327569069,0.15351692007163836,0.2761157595441979,0.12259883947255956,0.0677612833588488,0.5337990371866645,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,all,643,0.12248555324555598,0.003367281030578688,4.614663599762085e-07,0.6438802712701981,1.52625209856924e-05,0.15122570176581557,0.15121043924482988,3.7605772786270377e-08,0.6931467120680752,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,Lq_hit,223,0.2924249300262203,0.2610874188333473,0.00036688968860611545,0.6869386693396757,0.03699916612988284,0.5321264294655856,0.4951272633357028,8.667207497583009e-08,0.6931467120680752,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,Lq_no_hit,420,0.032255836526298494,7.522532957622856e-05,3.4477316517093567e-07,0.22501427187778855,2.9916110712142526e-06,0.004957468975686091,0.004954477364614877,3.7605772786270377e-08,0.6725669936775591,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,gold_size_0,252,0.0164357317414939,1.4137223912504862e-05,2.648284845022558e-07,0.062775002111997,1.3231332223871742e-06,0.000502200729726161,0.0005008775965037738,3.7605772786270377e-08,0.5266526187730471,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,gold_size_1,328,0.17199497995218183,0.023672125366202355,3.804422128280209e-06,0.6802000639893989,0.0006910230611632443,0.29792049035088664,0.2972294672897234,8.667207497583009e-08,0.6930971616973844,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,gold_size_2plus,63,0.28892147482095853,0.23872617278623154,0.002331712689883013,0.6883239891875602,0.06233096121793208,0.47920997039349245,0.41687900917556037,7.409758018278786e-05,0.6931467120680752,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,gold_size_2_appendix,56,0.28859867060647,0.2582476694295919,0.001669265558647167,0.6819410148474081,0.06036046428618518,0.48841291438988405,0.42805245010369886,7.409758018278786e-05,0.6931467120680752,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CLnew,CLnew,gold_size_3_appendix,7,0.2915039085368662,0.23137087269176218,0.07437056140940618,0.6270279976943386,0.16436880024874073,0.36892541061774764,0.2045566103690069,0.04948914292263253,0.6930789224106921,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,all,643,0.24128628637429156,0.16314786011045243,0.0029531520404574778,0.6717802364598872,0.06850560618223711,0.40385980336771954,0.3353541971854824,1.9577446576079707e-05,0.6931471539281222,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,Lq_hit,223,0.25521695764615826,0.1684586342309759,0.031777223396215956,0.6752600766928532,0.08340729763686168,0.4047064962506666,0.32129919861380496,9.997083695028206e-05,0.6931471539281222,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,Lq_no_hit,420,0.23388976329422903,0.1591241173270905,0.0007836104019223387,0.6684429411880124,0.05142620064971408,0.40298952838520874,0.35156332773549465,1.9577446576079707e-05,0.6931415140307904,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,gold_size_0,252,0.2293011070820881,0.14929183317961975,0.0002716671438530131,0.6690367538039127,0.040936463763289736,0.4024210205233954,0.36148455676010566,1.9577446576079707e-05,0.6931415140307904,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,gold_size_1,328,0.2436766804782576,0.1599516402442955,0.0227284260720841,0.6748007627429394,0.07069971332226319,0.4037103793770848,0.33301066605482166,9.997083695028206e-05,0.6931471539281222,defined,,,,,,,,,,,
condition,hate,,answer_sum,answer_sum/candidate_entropy,CD,CD,gold_size_2plus,63,0.27678177709706014,0.22464206314831495,0.05238161299106677,0.6124321307852785,0.12334935997408433,0.4142823701504984,0.29093301017641404,0.0033337104528847468,0.6912143344421875,defined,,,,,,,,,,,
