Configuration,Target Group,Target Group,Target Group,Hateful,Hateful,Hateful,Triple,Triple,Triple
Configuration,Precision,Recall,F1,Precision,Recall,F1,Hard,Soft,Avg
deepseek-llm-7b-chat,0.6472,0.6472,0.6472,0.7408,0.7408,0.7408,0.2192,0.4211,0.3201
deepseek_v32,0.532,0.5899,0.5595,0.6392,0.7087,0.6722,0.1346,0.3206,0.2276
gpt,0.4109,0.6241,0.4955,0.4919,0.7471,0.5932,0.1398,0.3331,0.2364
llama3,0.6946,0.6719,0.6831,0.7788,0.7534,0.7659,0.2523,0.45,0.3512
llama3_11,0.7079,0.6856,0.6966,0.7834,0.7587,0.7708,0.2585,0.453,0.3558
llama3_7,0.7113,0.6893,0.7001,0.7895,0.765,0.777,0.2537,0.4598,0.3568
llama3_9,0.7113,0.6893,0.7001,0.7895,0.765,0.777,0.2537,0.4598,0.3568
ours_prompt_al1280_glm3,0.672,0.6409,0.6561,0.7652,0.7298,0.747,0.1819,0.394,0.288
ours_prompt_al1280_glm4,0.6336,0.6709,0.6517,0.7011,0.7424,0.7211,0.2165,0.4142,0.3154
ours_prompt_al1280_llama3,0.708,0.6935,0.7007,0.7874,0.7713,0.7793,0.2693,0.4521,0.3607
ours_prompt_al1280_qwen3,0.6833,0.6761,0.6797,0.7694,0.7613,0.7653,0.2373,0.4434,0.3404
qwen3-max,0.4692,0.5962,0.5251,0.5739,0.7292,0.6423,0.1389,0.3269,0.2329
