query_id	recipient	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J05	jmix-J05-MPS	J05-MPS-upstream	J05-MPS-preceding	0.2464466094970703	2e-06	0.2464466094970703
J05	jmix-J05-MSP	J05-MSP-upstream	J05-MSP-preceding	0.7390785217285156	2e-06	0.7390785217285156
J06	jmix-J06-MPS	J06-MPS-upstream	J06-MPS-preceding	0.20313644409179688	2e-06	0.20313644409179688
J06	jmix-J06-MSP	J06-MSP-upstream	J06-MSP-preceding	0.29657554626464844	2e-06	0.29657554626464844
J07	jmix-J07-MPS	J07-MPS-upstream	J07-MPS-preceding	4.806190490722656	2e-06	4.806190490722656
J07	jmix-J07-MSP	J07-MSP-upstream	J07-MSP-preceding	3.8247222900390625	2e-06	3.8247222900390625
J08	jmix-J08-MPS	J08-MPS-upstream	J08-MPS-preceding	1.7124404907226562	2e-06	1.7124404907226562
J08	jmix-J08-MSP	J08-MSP-upstream	J08-MSP-preceding	1.8278770446777344	2e-06	1.8278770446777344
J09	jmix-J09-MPS	J09-MPS-upstream	J09-MPS-preceding	0.3022880554199219	2e-06	-0.3022880554199219
J09	jmix-J09-MSP	J09-MSP-upstream	J09-MSP-preceding	0.045307159423828125	2e-06	-0.045307159423828125
J10	jmix-J10-MPS	J10-MPS-upstream	J10-MPS-preceding	0.5717353820800781	2e-06	-0.5717353820800781
J10	jmix-J10-MSP	J10-MSP-upstream	J10-MSP-preceding	0.337799072265625	2e-06	-0.337799072265625
